period,stateid,stateDescription,sectorid,sectorName,sales,sales-units,sector
2013-11-01,OH,Ohio,RES,residential,4031.95543,million kilowatt hours,RES
2013-10-01,OH,Ohio,RES,residential,3471.38749,million kilowatt hours,RES
2013-09-01,OH,Ohio,RES,residential,3917.70226,million kilowatt hours,RES
2013-08-01,OH,Ohio,RES,residential,4696.42118,million kilowatt hours,RES
2013-07-01,OH,Ohio,RES,residential,5117.19613,million kilowatt hours,RES
2013-06-01,OH,Ohio,RES,residential,4102.50391,million kilowatt hours,RES
2013-05-01,OH,Ohio,RES,residential,3568.18861,million kilowatt hours,RES
2013-04-01,OH,Ohio,RES,residential,3555.53432,million kilowatt hours,RES
2013-03-01,OH,Ohio,RES,residential,4797.565,million kilowatt hours,RES
2013-02-01,OH,Ohio,RES,residential,4585.79448,million kilowatt hours,RES
2013-01-01,OH,Ohio,RES,residential,5112.7054,million kilowatt hours,RES
2012-12-01,OH,Ohio,RES,residential,4924.64498,million kilowatt hours,RES
2012-11-01,OH,Ohio,RES,residential,3990.08926,million kilowatt hours,RES
2012-10-01,OH,Ohio,RES,residential,3320.17965,million kilowatt hours,RES
2012-09-01,OH,Ohio,RES,residential,3720.96657,million kilowatt hours,RES
2012-08-01,OH,Ohio,RES,residential,5472.22784,million kilowatt hours,RES
2012-07-01,OH,Ohio,RES,residential,6000.43971,million kilowatt hours,RES
2012-06-01,OH,Ohio,RES,residential,4569.853,million kilowatt hours,RES
2012-05-01,OH,Ohio,RES,residential,3693.71324,million kilowatt hours,RES
2012-04-01,OH,Ohio,RES,residential,3107.40281,million kilowatt hours,RES
2012-03-01,OH,Ohio,RES,residential,3784.87747,million kilowatt hours,RES
2012-02-01,OH,Ohio,RES,residential,4376.05476,million kilowatt hours,RES
2012-01-01,OH,Ohio,RES,residential,5327.31975,million kilowatt hours,RES
2011-12-01,OH,Ohio,RES,residential,4891.53161,million kilowatt hours,RES
2011-11-01,OH,Ohio,RES,residential,3647.61845,million kilowatt hours,RES
2011-10-01,OH,Ohio,RES,residential,3201.72155,million kilowatt hours,RES
2011-09-01,OH,Ohio,RES,residential,3898.35326,million kilowatt hours,RES
2011-08-01,OH,Ohio,RES,residential,5511.5672,million kilowatt hours,RES
2011-07-01,OH,Ohio,RES,residential,5970.78673,million kilowatt hours,RES
2011-06-01,OH,Ohio,RES,residential,4421.2579,million kilowatt hours,RES
